kpi,month,value
On-Time-In-Full,Sep 2025,95.8
On-Time-In-Full,Oct 2025,95.5
On-Time-In-Full,Nov 2025,95.9
On-Time-In-Full,Dec 2025,95.2
On-Time-In-Full,Jan 2026,94.7
On-Time-In-Full,Feb 2026,95.4
On-Time-In-Full,Mar 2026,94.9
On-Time-In-Full,Apr 2026,94.6
On-Time-In-Full,May 2026,94.1
On-Time-In-Full,Jun 2026,93.7
On-Time-In-Full,Jul 2026,92.8
On-Time-In-Full,Aug 2026,89.1
Production Schedule Adherence,Sep 2025,94.2
Production Schedule Adherence,Oct 2025,94.0
Production Schedule Adherence,Nov 2025,93.8
Production Schedule Adherence,Dec 2025,94.5
Production Schedule Adherence,Jan 2026,94.1
Production Schedule Adherence,Feb 2026,93.9
Production Schedule Adherence,Mar 2026,93.5
Production Schedule Adherence,Apr 2026,93.1
Production Schedule Adherence,May 2026,92.7
Production Schedule Adherence,Jun 2026,91.8
Production Schedule Adherence,Jul 2026,91.2
Production Schedule Adherence,Aug 2026,87.0
Supplier OTIF,Sep 2025,95.9
Supplier OTIF,Oct 2025,95.4
Supplier OTIF,Nov 2025,95.7
Supplier OTIF,Dec 2025,95.5
Supplier OTIF,Jan 2026,95.0
Supplier OTIF,Feb 2026,94.8
Supplier OTIF,Mar 2026,94.6
Supplier OTIF,Apr 2026,94.1
Supplier OTIF,May 2026,93.9
Supplier OTIF,Jun 2026,93.5
Supplier OTIF,Jul 2026,93.7
Supplier OTIF,Aug 2026,91.4
Gross Margin,Sep 2025,38.8
Gross Margin,Oct 2025,38.6
Gross Margin,Nov 2025,38.9
Gross Margin,Dec 2025,38.5
Gross Margin,Jan 2026,38.4
Gross Margin,Feb 2026,38.2
Gross Margin,Mar 2026,38.1
Gross Margin,Apr 2026,38.3
Gross Margin,May 2026,37.9
Gross Margin,Jun 2026,37.8
Gross Margin,Jul 2026,37.5
Gross Margin,Aug 2026,36.8
