kpi,process,current,target,benchmark,delta,status,unit,owner,process_score,definition,formula,source,refresh,data_quality,poc
On-Time-In-Full,Fulfillment,89.1,95.0,96.0,-3.7,Action Required,%,VP Supply Chain,91,Percentage of customer orders delivered complete and on/before the committed date.,OTIF delivered orders / total delivered orders,SAP ECC + Transportation System,Daily,98.7,Yes
Order Fill Rate,Fulfillment,93.0,96.0,97.0,-1.9,Watch,%,VP Supply Chain,91,Percentage of ordered units fulfilled from available supply.,Units fulfilled / units ordered,SAP ECC,Daily,99.0,No
Supplier OTIF,Procure to Pay,91.4,95.0,96.0,-2.3,Watch,%,VP Procurement,92,Percentage of supplier receipts arriving complete and on time.,On-time complete receipts / total receipts,SAP ECC,Daily,98.4,Yes
Purchase Price Variance,Procure to Pay,1.8,1.5,1.2,0.3,Watch,%,VP Procurement,92,Variance between actual purchase price and standard or expected purchase price.,(Actual - standard) / standard,SAP ECC,Weekly,97.9,No
Production Schedule Adherence,Plan to Produce,87.0,94.0,95.0,-4.2,Action Required,%,VP Operations,88,Percentage of production orders completed according to the committed production schedule.,Orders completed on schedule / planned orders,SAP ECC,Daily,98.1,Yes
Overall Equipment Effectiveness,Plan to Produce,82.0,85.0,86.0,-1.1,Watch,%,VP Operations,88,"Composite measure of availability, performance, and quality.",Availability × Performance × Quality,Manufacturing Systems + SAP,Daily,96.8,No
Gross Margin,Record to Report,36.8,38.0,39.0,-0.7,Watch,%,CFO,97,Gross profit as a percentage of net revenue.,(Revenue - COGS) / Revenue,SAP ECC + Finance Model,Monthly,99.4,Yes
Close Cycle Time,Record to Report,5.0,5.0,4.0,0.0,On Track,days,Controller,97,Number of business days required to complete financial close.,Close completion date - period end date,SAP ECC,Monthly,99.6,No
Order Cycle Time,Order to Cash,3.9,4.0,3.5,-0.2,On Track,days,VP Sales Operations,95,Average elapsed time from customer order creation to fulfillment readiness.,Fulfillment-ready timestamp - order timestamp,SAP ECC,Daily,98.9,Yes
Days Sales Outstanding,Order to Cash,38.0,40.0,37.0,-1.0,On Track,days,CFO,95,Average number of days required to collect receivables.,Accounts receivable / credit sales × days,SAP ECC,Weekly,99.2,No
IT SLA Attainment,Hire to Retire / IT,96.0,95.0,96.0,0.8,On Track,%,CIO,96,Percentage of tracked service requests completed within agreed SLA.,Requests within SLA / total requests,ITSM Platform,Daily,98.5,Yes
Workforce Productivity Index,Hire to Retire / IT,94.0,93.0,94.0,0.7,On Track,%,CHRO,96,Illustrative productivity composite across selected workforce measures.,Composite index,HRIS + Operational Systems,Weekly,96.0,No
